seq,pat,naive,naive2,kmp,kmp2,bmh
1000000,10000,1.239300036104396e-05,1.7429993022233248e-06,1.7740003386279568e-06,1.0019994078902528e-06,9.920004231389612e-07
1000000,10000,9.837998732109554e-06,5.809997674077749e-07,1.8329992599319667e-06,7.420003385050222e-07,6.819991540396586e-07
1000000,10000,1.0028001270256937e-05,8.719998731976375e-07,1.5429995983140543e-06,7.009984983596951e-07,6.91001332597807e-07
1000000,10000,7.895001544966362e-06,5.810015863971785e-07,1.0120002116309479e-06,7.310009095817804e-07,5.510009941644967e-07
1000000,10000,7.564000043203123e-06,6.110003596404567e-07,8.819988579489291e-07,1.1520005500642583e-06,8.610004442743957e-07
1000000,10000,8.355000318260863e-06,1.1819993233075365e-06,1.5730001905467361e-06,7.109993021003902e-07,8.619990694569424e-07
1000000,10000,9.317000149167143e-06,7.920007192296907e-07,1.3620010577142239e-06,7.310009095817804e-07,6.810005288571119e-07
1000000,10000,5.2699997468153015e-06,6.610007403651252e-07,1.6329995560226962e-06,7.119997462723404e-07,6.909995136084035e-07
1000000,10000,7.754999387543648e-06,1.071999577106908e-06,1.272001100005582e-06,9.110008249990642e-07,1.1419997463235632e-06
1000000,10000,6.62200000078883e-06,5.809997674077749e-07,9.319992386735976e-07,7.210001058410853e-07,6.110003596404567e-07
1000000,10000,4.858999091084115e-06,7.119997462723404e-07,8.009992598090321e-07,1.0720013960963115e-06,6.020000000717118e-07
1000000,10000,5.580001015914604e-06,4.3000000005122274e-07,8.320002962136641e-07,8.209990483010188e-07,8.320002962136641e-07
1000000,10000,4.027999239042401e-06,4.4000080379191786e-07,7.72000930737704e-07,7.109993021003902e-07,5.010006134398282e-07
1000000,10000,7.673999789403751e-06,6.219997885636985e-07,9.420000424142927e-07,6.420013960450888e-07,6.709997251164168e-07
1000000,10000,5.690000762115233e-06,5.109995981911197e-07,9.619998309062794e-07,6.110003596404567e-07,8.21999492472969e-07
1000000,10000,5.480000254465267e-06,4.309986252337694e-07,7.109993021003902e-07,1.0219991963822395e-06,5.410001904238015e-07
1000000,10000,4.428000465850346e-06,5.009987944504246e-07,6.009995558997616e-07,9.120012691710144e-07,6.209993443917483e-07
