seq,pat,naive,naive2,kmp,kmp2,bmh
100000,1000,6.230999133549631e-06,5.709989636670798e-07,1.0119983926415443e-06,5.410001904238015e-07,4.109970177523792e-07
100000,1000,1.3829994713887572e-06,3.0999945010989904e-07,4.209978214930743e-07,3.709974407684058e-07,3.399982233531773e-07
100000,1000,3.6100027500651777e-07,2.400010998826474e-07,2.2999665816314518e-07,2.2099993657320738e-07,2.309971023350954e-07
100000,1000,1.4030010788701475e-06,3.310015017632395e-07,2.999986463692039e-07,4.0099985199049115e-07,4.90999809699133e-07
100000,1000,4.4099942897446454e-07,2.410015440545976e-07,2.2099993657320738e-07,2.500019036233425e-07,2.6999987312592566e-07
100000,1000,3.81001882487908e-07,2.500019036233425e-07,2.1999949240125716e-07,2.2099993657320738e-07,2.309971023350954e-07
100000,1000,1.7829988792072982e-06,3.4099866752512753e-07,4.4099942897446454e-07,4.209978214930743e-07,4.710018401965499e-07
100000,1000,3.9099904824979603e-07,2.2099993657320738e-07,2.2099993657320738e-07,2.310007403139025e-07,2.710003172978759e-07
100000,1000,1.6429985407739878e-06,3.4999902709387243e-07,3.9999940781854093e-07,4.310022632125765e-07,7.119997462723404e-07
100000,1000,1.5930017980281264e-06,3.210006980225444e-07,4.910034476779401e-07,3.6000346881337464e-07,4.5100023271515965e-07
100000,1000,1.8639984773471951e-06,2.310007403139025e-07,4.81002643937245e-07,5.610017979051918e-07,5.710026016458869e-07
100000,1000,4.5100023271515965e-07,2.500019036233425e-07,2.400010998826474e-07,2.3000029614195228e-07,2.710003172978759e-07
100000,1000,1.4830002328380942e-06,3.300010575912893e-07,7.310009095817804e-07,3.5999983083456755e-07,4.210014594718814e-07
100000,1000,4.400026227813214e-07,2.5999906938523054e-07,2.3000029614195228e-07,2.2999665816314518e-07,2.400010998826474e-07
100000,1000,1.7930033209268004e-06,2.1999949240125716e-07,5.010006134398282e-07,4.210014594718814e-07,4.4999978854320943e-07
100000,1000,5.710026016458869e-07,2.409979060757905e-07,2.3000029614195228e-07,2.3000029614195228e-07,2.400010998826474e-07
100000,1000,2.043998392764479e-06,2.500019036233425e-07,4.2000101529993117e-07,4.310022632125765e-07,6.509981176350266e-07
100000,1000,4.5100023271515965e-07,2.6099951355718076e-07,2.309971023350954e-07,2.409979060757905e-07,2.710003172978759e-07
100000,1000,2.2839994926471263e-06,3.4099866752512753e-07,5.809997674077749e-07,4.209978214930743e-07,4.90999809699133e-07
100000,1000,5.010006134398282e-07,2.5999906938523054e-07,2.3000029614195228e-07,2.500019036233425e-07,2.5999906938523054e-07
100000,1000,1.953001628862694e-06,2.400010998826474e-07,3.9999940781854093e-07,4.309986252337694e-07,4.4099942897446454e-07
100000,1000,4.209978214930743e-07,2.3000029614195228e-07,2.3000029614195228e-07,2.500019036233425e-07,2.400010998826474e-07
100000,1000,3.699969965964556e-07,2.499982656445354e-07,2.500019036233425e-07,2.5099870981648564e-07,2.5100234779529274e-07
100000,1000,1.3930002751294523e-06,2.2099993657320738e-07,3.00002284348011e-07,4.1100065573118627e-07,4.5100023271515965e-07
100000,1000,4.199973773211241e-07,2.3000029614195228e-07,2.400010998826474e-07,2.3000029614195228e-07,2.6999987312592566e-07
100000,1000,2.4849978217389435e-06,4.6000059228390455e-07,3.9999940781854093e-07,4.4100306695327163e-07,6.010013748891652e-07
