seq,naive1,naive2,naive3,kmp1,kmp2,kmp3
100000,8.551459904992953e-07,9.695100088720211e-07,9.526420108159073e-07,9.952759064617565e-07,9.978899834095502e-07,1.0190020329901015e-06
110000,8.764699814491905e-07,9.70363944361452e-07,9.11481947696302e-07,9.664820609032176e-07,1.02695390523877e-06,1.0768899519462136e-06
120000,8.7746210192563e-07,9.765040231286547e-07,9.997879096772522e-07,9.879681238089688e-07,1.0152839167858475e-06,9.72910078417044e-07
130000,1.1173698439961299e-06,1.1022979524568656e-06,9.97885981632862e-07,1.138972016633488e-06,1.1034981362172404e-06,1.1148319754283877e-06
140000,1.0040779379778542e-06,1.0251900093862786e-06,9.400540438946337e-07,9.376620000693947e-07,1.0630941396811975e-06,1.0373921104473992e-06
150000,8.748260224820115e-07,9.605220329831353e-07,1.0658841856638904e-06,1.0464119404787197e-06,9.285019696108064e-07,9.429319616174324e-07
160000,8.935959558584728e-07,9.701438320917076e-07,8.947739916038699e-07,1.003078003122937e-06,1.0366760834585876e-06,1.0318720887880773e-06
170000,1.0820600728038698e-06,1.334957967628725e-06,1.3752380982623438e-06,1.2682960004894996e-06,1.2102720284019597e-06,1.2264641190995463e-06
180000,1.0823141201399266e-06,1.2388559480314143e-06,1.1793199955718591e-06,1.2021439542877486e-06,1.294833884458058e-06,1.2860879651270805e-06
190000,1.430988006177358e-06,1.2963480112375694e-06,1.1811019649030641e-06,1.363763920380734e-06,1.2854441374656743e-06,1.2932980171171947e-06
200000,1.0352739845984615e-06,1.1918640884687192e-06,1.2111460164305754e-06,1.1957701499341057e-06,1.2061559391440824e-06,1.2598419780260884e-06
210000,9.737379878060894e-07,1.0210719628958032e-06,9.324819766334257e-07,1.0041601199191063e-06,1.0342660316382534e-06,9.77854033408221e-07
220000,1.333820000581909e-06,1.4064699207665396e-06,1.4040979804121888e-06,1.469238122808747e-06,1.4948100142646582e-06,1.6111278819153088e-06
230000,1.1550641211215407e-06,1.2386979797156527e-06,1.1363658704794942e-06,1.2346960065769962e-06,1.2190959678264335e-06,1.2358679377939553e-06
240000,1.0304639945388775e-06,1.2630780620384033e-06,1.0559799484326505e-06,1.1721798582584596e-06,1.2855740496888758e-06,1.2914880571770483e-06
250000,1.0153939365409314e-06,1.2437100012903102e-06,1.168775968835689e-06,1.2152560157119295e-06,1.243040038389154e-06,1.213451956573408e-06
260000,1.079948116966989e-06,1.2782660487573595e-06,1.130612174165435e-06,1.2497039933805355e-06,1.2108139490010217e-06,1.2256998670636677e-06
270000,1.0404939675936476e-06,1.1783480367739685e-06,1.1298880563117563e-06,1.174819961306639e-06,1.150057891209144e-06,1.171416042780038e-06
280000,1.056398010405246e-06,1.184828048280906e-06,1.073271945642773e-06,1.407993862812873e-06,1.164847955806181e-06,1.171936048194766e-06
290000,1.0758639618870802e-06,1.3395980568020602e-06,1.2408120383042842e-06,1.2941819950356146e-06,1.3486818497767671e-06,1.3257060054456814e-06
300000,1.1798039049608633e-06,1.2316500506130978e-06,1.3883920400985515e-06,1.2838440234190787e-06,1.4038439185242173e-06,1.3781161251245068e-06
310000,1.0711879949667493e-06,1.34306004474638e-06,1.1429359728936106e-06,1.3388939769356512e-06,1.3053279471932907e-06,1.292802102398127e-06
320000,1.2346959410933778e-06,1.3248320246930234e-06,1.1724779033102097e-06,1.382767986797262e-06,1.3088139312458224e-06,1.42932416201802e-06
330000,1.0957300182781184e-06,1.2763299891958008e-06,1.1549040063982828e-06,1.3426679506665095e-06,1.256663876120001e-06,1.247267959115561e-06
340000,1.0988061185344123e-06,1.291101929382421e-06,1.0984799664583989e-06,1.308025966864079e-06,1.4333458821056412e-06,1.2620339475688522e-06
350000,1.056865949067287e-06,1.245677987753879e-06,1.1251620526309123e-06,1.1655900889309124e-06,1.2847939797211438e-06,1.217253964568954e-06
360000,1.13430387864355e-06,1.3271080024424006e-06,1.1690200553857722e-06,1.2909280558233148e-06,1.5437480178661644e-06,1.2657920888159425e-06
370000,1.055331937095616e-06,1.1250480019953103e-06,1.0241760755889117e-06,1.1570420538191684e-06,1.208672096254304e-06,1.1805080357589758e-06
380000,9.825699598877692e-07,1.2249540304765107e-06,1.2099501400371083e-06,1.1616380725172346e-06,1.2895658946945328e-06,1.2385580121190287e-06
390000,1.1673339758999648e-06,1.2706360939773734e-06,1.1211700548301452e-06,1.3546139889513144e-06,1.3081599681754596e-06,1.345662007224746e-06
400000,9.972099796868862e-07,1.1368680934538134e-06,1.0271020873915405e-06,1.1769740449381061e-06,1.2042360467603429e-06,1.2150380425737237e-06
410000,1.0358779400121424e-06,1.3881800987292076e-06,1.1557539764908142e-06,1.2781480254488996e-06,1.3306199471116998e-06,1.2973179618711584e-06
420000,1.1401899901102295e-06,1.248753978870809e-06,1.1395340043236502e-06,1.2731300375889987e-06,1.2902340895379894e-06,1.285806079977192e-06
430000,1.069604004442226e-06,1.180734092486091e-06,1.1392039450583979e-06,1.444283981982153e-06,1.2308899604249746e-06,1.2320240130065944e-06
440000,1.0367400973336772e-06,1.312537962803617e-06,1.0929139170912095e-06,1.3589760201284664e-06,1.3439460235531442e-06,1.2905460243928243e-06
450000,1.152177923358977e-06,1.333241983957123e-06,1.1662040269584395e-06,1.3716979883611203e-06,1.503621941083111e-06,1.3274939628900026e-06
460000,1.0670280389604157e-06,1.313487890001852e-06,1.1758100445149465e-06,1.2730899688904175e-06,1.2800499753211626e-06,1.2419439226505346e-06
470000,1.07658798515331e-06,1.2331039324635642e-06,1.0923739901045336e-06,1.2535240384750069e-06,1.250094028364401e-06,1.2484640174079688e-06
480000,1.093268052500207e-06,1.1401519732316956e-06,1.024971978040412e-06,1.3217758896644227e-06,1.3113520108163355e-06,1.2133839845773764e-06
490000,1.1021939717466012e-06,1.2328560987953096e-06,1.0839898968697526e-06,1.1937479939660991e-06,1.2617919564945624e-06,1.2180640551378019e-06
500000,1.030983949021902e-06,1.2323739865678364e-06,1.0578558576526121e-06,1.2941920576849948e-06,1.2308259392739276e-06,1.2421040592016651e-06
